year,month,day,tow.id,crab.number,sex,shell.condition,body.part,colour.L,colour.a,colour.b
2017,8,1,GP010F,62,1,4,chela,60.37,-0.63,7.34
2017,8,1,GP010F,82,1,4,chela,52.17,2.31,18.1
2017,8,1,GP010F,83,1,3,chela,57.23,-0.01,14.51
2017,8,1,GP012F,2,1,1,chela,55.36,-1.76,0.84
2017,8,1,GP012F,4,1,3,chela,49.59,0.06,7.63
2017,8,1,GP012F,5,1,2,chela,61.14,-2.32,0.23
2017,8,1,GP012F,7,1,4,chela,47.41,0.81,10.29
2017,8,1,GP012F,11,1,1,chela,54.14,-1.18,0.91
2017,8,1,GP012F,14,1,2,chela,62.49,-2.87,3.55
2017,8,2,GP013F,9,1,3M,chela,46.17,0.73,12.76
2017,8,2,GP013F,10,1,3M,chela,48.87,-0.38,9.33
2017,8,2,GP013F,13,1,1,chela,64.11,-2.27,0.15
2017,8,2,GP013F,15,1,4,chela,51.75,-0.26,8.29
2017,8,2,GP017F,3,1,2,chela,65.74,-2.9,1.13
2017,8,2,GP017F,4,1,2,chela,61.61,-2.95,-0.69
2017,8,2,GP017F,6,1,3M,chela,48.01,0.16,9.05
2017,8,2,GP017F,16,1,1,chela,59.66,-2.83,-0.3
2017,8,2,GP017F,21,1,1,chela,63.83,-2.67,0.58
2017,8,2,GP017F,22,1,4,chela,57.9,0.73,18.04
2017,8,2,GP014F,14,1,1,chela,62.05,-2.28,-1.81
2017,8,2,GP020F,3,1,3M,chela,51.26,-0.27,9.28
2017,8,2,GP020F,4,1,2,chela,63.22,-2.79,-0.51
2017,8,2,GP020F,5,1,2,chela,61.37,-2.57,1.66
2017,8,2,GP020F,9,1,1,chela,65.86,-2.65,0.85
2017,8,2,GP020F,14,1,3M,chela,48.76,0.32,8.47
2017,8,2,GP020F,21,1,3,chela,65.88,-3.06,3.91
2017,8,2,GP020F,39,1,3,chela,63.46,-3.06,5.52
2017,8,2,GP020F,45,1,4,chela,49.8,0.65,9.72
2017,8,2,GP021F,1,1,2,chela,64.07,-2.65,-0.36
2017,8,2,GP021F,2,1,3M,chela,54.28,-0.74,9.32
2017,8,2,GP021F,4,1,2,chela,66.06,-2.84,1.56
2017,8,2,GP015F,1,1,3,chela,65.77,-3.04,3.54
2017,8,2,GP037F,15,1,2,chela,67.76,-3.32,5.07
2017,8,2,GP037F,16,1,3,chela,59.19,-2.61,6.49
2017,8,2,GP037F,21,1,2,chela,57.43,-1.88,1.7
2017,8,3,GP053A1,2,1,2,chela,54.67,-2.12,-1.28
2017,8,3,GP053A1,3,1,2,chela,59.76,-2.6,1.36
2017,8,3,GP053A1,21,1,3M,chela,49.58,-0.16,7.68
2017,8,3,GP060F,1,1,2,chela,56.51,-2.33,0.74
